ID,Salary,DOJ,DOL,Original Designation,Designation,Domain,JobCity,Gender,DOB,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,DomainScore,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
42418,435000.00,5/1/10 0:00,6/1/14 0:00,electrical engineer,electrical engineer,Engineering,Bhopal,f,10/23/87 0:00,65,cbse,2005,54,cbse,402,1,B.Tech/B.E.,biomedical engineering,65.9,402,0,Madhya Pradesh,2010,405,425,405,0,0,0,0,0,0,0,0,0.9737,-0.2793,-1.2148,-0.8778,0.5024
214964,315000.00,8/1/11 0:00,7/1/12 0:00,senior software engineer,senior software engineer,Engineering,Mumbai,f,12/25/88 0:00,88.4,cbse,2006,79.2,cbse,332,1,B.Tech/B.E.,biomedical engineering,69.54,332,0,Punjab,2011,525,705,524,0,0,0,0,0,0,0,0,0.9737,-0.1232,-1.0697,1.5899,0.9763
900218,420000.00,7/1/10 0:00,8/1/11 0:00,management trainee,trainee manager,Management,NCR,m,1/11/88 0:00,82,cbse,2005,75.8,cbse,443,1,M.Tech./M.E.,other,82.5,443,0,Uttar Pradesh,2014,625,520,705,0,0,0,0,0,0,0,0,-1.8825,0.5454,-0.9122,-0.1076,-1.4356
220655,400000.00,6/1/11 0:00,3/1/13 0:00,team leader,technical lead,Management,Chandigarh,m,11/16/89 0:00,88.2,cbse,2007,77.8,cbse,285,1,B.Tech/B.E.,chemical engineering,62.4,285,0,Punjab,2011,595,695,575,0,0,0,0,0,0,0,0,-1.0355,0.9688,-0.6343,-0.4078,0.0284
962376,700000.00,7/1/14 0:00,,product manager,product manager,Management,Jaipur,m,1/3/92 0:00,87.4,cbse,2009,74,state board,436,1,M.Tech./M.E.,other,72.79,436,0,Uttarakhand,2014,625,450,655,0,0,0,0,0,0,0,0,-0.3027,-0.4536,-0.6048,-0.8682,0.0973
962441,700000.00,7/1/14 0:00,4/1/15 0:00,graduate engineer trainee,trainee graduate engineer,Engineering,Jamnagar,m,8/10/92 0:00,88.67,state board,2009,87.69,state board,436,1,B.Tech/B.E.,chemical engineering,79.65,436,0,Uttarakhand,2014,545,645,735,0.879915203,0,0,0,0,0,0,0,-0.7335,1.5444,-0.1437,-2.136,0.6721
609066,720000.00,2/1/14 0:00,,data analyst,data analyst,Tech,NCR,m,8/24/91 0:00,87.8,icse,2008,74.4,cbse,285,1,B.Tech/B.E.,civil engineering,74.7,285,0,Punjab,2013,545,545,590,0.962217011,0,0,0,0,0,0,500,-1.1644,0.3789,0.3174,1.1601,-0.2859
642404,600000.00,7/1/13 0:00,,engineer,engineer,Engineering,NCR,m,7/1/92 0:00,92,cbse,2009,90.2,state board,436,1,B.Tech/B.E.,civil engineering,77.78,436,0,Uttarakhand,2013,730,655,780,0.679644641,0,0,0,0,0,0,388,0.8463,0.8784,0.4711,-2.0092,-0.2859
865959,315000.00,12/1/14 0:00,,php developer,software engineer,Engineering,Hyderabad,f,6/4/93 0:00,87,state board,2010,89,state board,12949,1,B.Tech/B.E.,electronics engineering,80,12949,1,Telangana,2014,640,525,545,0,0,0,0,0,0,0,0,1.1336,1.0449,0.4711,-1.6289,0.8637
877224,300000.00,12/1/14 0:00,,management trainee,trainee manager,Management,Pune,f,5/10/92 0:00,93.38,state board,2010,78.5,state board,11973,1,B.Tech/B.E.,civil engineering,65.7,11973,1,Maharashtra,2014,545,605,680,0.679644641,0,0,0,0,0,0,388,0.2718,-0.4536,0.4711,-1.1218,0.0973
231229,730000.00,7/1/13 0:00,,research scientist,research scientist,Engineering,Pune,m,11/15/89 0:00,84.67,,2006,86.46,,264,1,B.Tech/B.E.,chemical engineering,85.8,264,1,Rajasthan,2011,545,525,715,0,0,0,0,0,0,0,0,-1.3447,-1.0593,0.672,1.0024,-1.7093
925234,400000.00,8/1/14 0:00,,software engineer,software engineer,Engineering,NCR,m,6/2/92 0:00,89.2,cbse,2010,87.25,cbse,8195,1,B.Tech/B.E.,computer science,77.3,8195,1,Delhi,2014,580,555,705,0,0,0,0,0,0,0,0,-0.4463,0.3789,0.7785,0.3995,0.0973
230702,700000.00,7/1/11 0:00,9/1/14 0:00,planning engineer,planning engineer,Engineering,Rajpura,m,12/27/87 0:00,84.2,,2006,69.2,,64,2,B.Tech/B.E.,civil engineering,65,64,0,Uttar Pradesh,2011,475,635,595,0.904740692,0,0,0,0,0,0,460,-1.3447,0.0328,-2.3759,-0.9953,0.3444
232430,360000.00,5/1/12 0:00,,technical engineer,technical engineer,Engineering,NCR,m,7/10/90 0:00,80,cbse,2007,75.4,cbse,7600,2,B.Tech/B.E.,electronics engineering,70.66,7600,0,Uttar Pradesh,2011,425,405,495,0,0,0,0,0,0,0,0,-3.6631,-0.9033,-2.0856,1.5899,-1.8673
480729,120000.00,6/1/07 0:00,6/1/09 0:00,software engineer,software engineer,Engineering,Hyderabad,m,6/18/86 0:00,83.5,state board,2003,87.3,state board,12487,2,B.Tech/B.E.,information technology,64.7,12487,0,Andhra Pradesh,2007,425,575,645,0,0,0,0,0,0,0,0,-1.4992,-0.7863,-2.0131,0.4148,-0.6035
833102,165000.00,4/1/14 0:00,,software quality assurance tester,test engineer,QA,NCR,m,12/25/93 0:00,65,state board,2009,55.55,state board,382,2,B.Tech/B.E.,computer science,65.66,382,0,Uttar Pradesh,2014,335,460,400,0,0,0,0,0,0,0,0,-1.8825,-2.2851,-1.8344,0.1459,-1.4356
483401,300000.00,7/1/12 0:00,7/1/15 0:00,electrical engineer,electrical engineer,Engineering,Ganjam,m,6/16/91 0:00,79.6,,2009,79.04,,2253,2,B.Tech/B.E.,electrical engineering,84.4,2253,0,Orissa,2012,405,565,555,0,0,0,0,0,0,0,0,0.6646,1.3198,-1.7954,-0.4078,-0.4455
1063305,240000.00,8/1/13 0:00,5/1/15 0:00,software developer,software engineer,Engineering,Lucknow,m,4/19/90 0:00,77,cbse,2007,82,cbse,15645,2,MCA,computer application,83,15645,0,Uttar Pradesh,2013,465,420,535,0,0,0,0,0,0,0,0,-1.7389,-0.4536,-1.6807,-1.1218,-1.6273
1059903,300000.00,7/1/12 0:00,,production engineer,production engineer,Engineering,Indore,m,12/8/89 0:00,63.4,state board,2008,63,state board,6595,2,B.Tech/B.E.,electronics engineering,69.3,6595,0,Madhya Pradesh,2012,360,350,320,0.600643959,0,0,0,0,0,0,0,-0.4463,-1.1196,-1.6807,-0.4879,-1.244
1173129,240000.00,6/1/14 0:00,4/1/15 0:00,sales engineer,sales engineer,Engineering,Bhagalpur,m,2/18/90 0:00,79.28,state board,2008,68.55,state board,13517,2,B.Tech/B.E.,mechanical engineering,79.75,13517,0,Tamil Nadu,2013,615,640,545,0.909151943,0,0,0,0,0,0,0,1.1336,1.2114,-1.527,-0.995,0.8637
